timestamp,price
0,1.611.000
1,1.610.000
2,1.629.300
3,1.637.000
4,1.653.000
5,1.653.700
6,1.662.000
7,1.656.800
8,1.669.500
9,1.657.000
10,1.649.500
11,1.644.500
12,1.646.500
13,1.639.000
14,1.649.000
15,1.655.000
16,1.657.200
17,1.657.000
18,1.678.000
19,1.681.800
20,1.679.400
21,1.681.500
22,1.681.700
23,1.695.000
24,1.702.000
25,1.699.000
26,1.687.000
27,1.692.500
28,1.695.000
29,1.690.500
30,1.696.000
31,1.693.000
32,1.695.500
33,1.704.000
34,1.715.000
35,1.714.700
36,1.710.000
37,1.693.000
38,1.692.000
39,1.689.200
40,1.665.000
41,1.651.000
42,1.638.800
43,1.649.000
44,1.639.000
45,1.642.500
46,1.618.100
47,1.610.300
48,1.600.300
49,1.609.000
50,1.617.500
51,1.623.500
52,1.610.300
53,1.610.500
54,1.594.500
55,1.601.000
56,1.604.000
57,1.618.000
58,1.626.100
59,1.627.500
60,1.634.000
61,1.648.000
62,1.631.500
63,1.635.500
64,1.641.500
65,1.641.500
66,1.638.500
67,1.638.500
68,1.634.300
69,1.642.500
70,1.642.000
71,1.638.500
72,1.631.000
73,1.633.800
74,1.638.000
75,1.643.500
76,1.635.300
77,1.635.700
78,1.634.100
79,1.637.000
80,1.633.500
81,1.636.000
82,1.638.900
83,1.640.500
84,1.643.000
85,1.642.200
86,1.660.000
87,1.668.000
88,1.669.500
89,1.678.000
90,1.676.300
91,1.681.300
92,1.684.000
93,1.677.000
94,1.680.000
95,1.691.700
96,1.690.800
97,1.691.200
98,1.691.500
99,1.694.000
100,1.689.500
101,1.689.200
102,1.694.600
103,1.693.000
104,1.676.500
105,1.683.800
106,1.675.000
107,1.683.000
108,1.688.200
109,1.688.300
110,1.684.800
111,1.685.800
112,1.702.500
113,1.707.000
114,1.705.200
115,1.705.500
116,1.713.000
117,1.720.500
118,1.723.000
119,1.725.000
120,1.733.000
121,1.730.500
122,1.735.500
123,1.742.800
124,1.739.300
125,1.745.000
126,1.763.400
127,1.779.500
128,1.780.500
129,1.786.500
130,1.805.800
131,1.815.000
132,1.798.000
133,1.798.500
134,1.806.000
135,1.804.000
136,1.811.200
137,1.820.500
138,1.814.600
139,1.814.300
140,1.820.500
141,1.824.800
142,1.812.000
143,1.813.500
144,1.833.500
145,1.843.800
146,1.860.000
147,1.855.000
148,1.849.200
149,1.856.500
150,1.872.000
151,1.877.000
152,1.865.500
153,1.871.700
154,1.871.300
155,1.884.000
156,1.892.500
157,1.899.800
158,1.898.000
159,1.919.000
160,1.919.800
161,1.921.000
162,1.927.500
163,1.951.500
164,1.945.300
165,1.944.300
166,1.948.300
167,1.946.500
168,1.922.500
169,1.892.000
170,1.875.800
171,1.899.000
172,1.908.000
173,1.894.000
174,1.855.500
175,1.848.500
176,1.864.000
177,1.876.700
178,1.898.500
179,1.902.500
180,1.918.000
181,1.884.700
182,1.868.300
183,1.846.000
184,1.884.000
185,1.876.800
186,1.864.000
187,1.871.000
188,1.873.500
189,1.889.000
190,1.888.500
191,1.898.000
192,1.911.800
193,1.946.500
194,1.970.000
195,1.967.500
196,1.964.000
197,1.973.200
198,1.953.500
199,1.957.000
200,1.965.000
201,1.953.500
202,1.959.500
203,1.948.000
204,1.946.400
205,1.956.500
206,1.954.000
207,1.956.000
208,1.953.000
209,1.947.500
210,1.944.000
211,1.950.000
212,1.951.500
213,1.969.500
214,1.973.000
215,1.976.000
216,1.967.000
217,1.966.500
